participant_group,round,player_name,team,team_code,position,effective_position,is_playing_xi,sub_order,captain_flag,vice_flag,fantasy_points_final,potm_bonus,points_multiplier,counted_points,counted_points_type,subbed_out,subbed_in,final_playing_xi,team_round,match_date,match_id,chip_converter,chip_best11,chip_flexicap,chip_matchwinner,points_breakdown_str
Group 4,3,Jason Smith,South Africa,SA,BAT,BAT,0,2,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-14,1512742,0,0,0,0,DID NOT PLAY
Group 4,3,Jayden Seales,West Indies,WI,BOWL,BOWL,0,4,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-15,1512743,0,0,0,0,DID NOT PLAY
Group 4,3,Matthew Kuhnemann,Australia,AUS,BOWL,BOWL,0,3,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-16,1512748,0,0,0,0,DID NOT PLAY
Group 5,3,Rahmanullah Gurbaz,Afghanistan,AFG,WK,WK,1,0,0,0,36.0,0,1,36.0,PLAYING_XI,0,0,1,3,2026-02-16,1512746,0,0,0,0,DID NOT PLAY
Group 5,3,Mark Chapman,New Zealand,NZ,BAT,BAT,1,0,0,0,98.0,0,1,98.0,PLAYING_XI,0,0,1,3,2026-02-14,1512742,0,0,0,0,Runs: 48 → 48 | Fours: 6 → 24 | Sixes: 2 → 12 | Runs milestone bonus: 48 → 4 | Strike Rate: 184.62 → 6 | Announced: 1 → 4
Group 5,3,Sherfane Rutherford,West Indies,WI,BAT,BAT,1,0,0,0,0.0,0,1,0.0,PLAYING_XI,0,0,1,3,2026-02-15,1512743,0,0,0,0,DID NOT PLAY
Group 5,3,Tilak Varma,India,IND,BAT,BAT,1,0,0,0,86.0,0,1,86.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Runs: 25 → 25 | Fours: 2 → 8 | Sixes: 1 → 6 | Runs milestone bonus: 25 → 4 | Wickets: 1 → 30 | Dot balls: 5 → 5 | Economy Rate: 5.5 → 4 | Announced: 1 → 4
Group 5,3,Travis Head,Australia,AUS,BAT,BAT,1,0,1,0,120.0,0,2,240.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,Runs: 56 → 56 | Fours: 7 → 28 | Sixes: 3 → 18 | Runs milestone bonus: 56 → 8 | Strike Rate: 193.1 → 6 | Announced: 1 → 4
Group 5,3,Corbin Bosch,South Africa,SA,AR,AR,1,0,0,0,42.0,0,1,42.0,PLAYING_XI,0,0,1,3,2026-02-14,1512742,0,0,0,0,Wickets: 1 → 30 | Dot balls: 8 → 8 | Announced: 1 → 4
Group 5,3,Glenn Maxwell,Australia,AUS,AR,AR,1,0,0,1,41.0,0,1,41.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,Runs: 22 → 22 | Fours: 1 → 4 | Sixes: 1 → 6 | Dot balls: 3 → 3 | Strike Rate: 146.67 → 2 | Announced: 1 → 4
Group 5,3,Jamie Overton,England,ENG,AR,AR,0,2,0,0,49.0,0,1,49.0,PLAYING_XI,0,1,1,3,2026-02-14,1512741,0,0,0,0,Wickets: 1 → 30 | Dot balls: 11 → 11 | Economy Rate: 5.75 → 4 | Announced: 1 → 4
Group 5,3,Kamindu Mendis,Sri Lanka,SL,AR,AR,1,0,0,0,51.0,0,1,51.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,Wickets: 1 → 30 | Dot balls: 3 → 3 | Catches: 1 → 8 | Runout - indirect: 1 → 6 | Announced: 1 → 4
Group 5,3,Maheesh Theekshana,Sri Lanka,SL,BOWL,BOWL,1,0,0,0,54.0,0,1,54.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,Wickets: 1 → 30 | Dot balls: 12 → 12 | Catches: 1 → 8 | Announced: 1 → 4
